127.0.0.1, 2013-12-02 23:31:11, GET, /, HTTP/1.1, 303, 0.000869
127.0.0.1, 2013-12-02 23:31:12, GET, /welcome/default/index, HTTP/1.1, 200, 1.007942
127.0.0.1, 2013-12-02 23:31:14, GET, /admin/default/index, HTTP/1.1, 200, 0.608373
127.0.0.1, 2013-12-02 23:31:14, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2013-12-02 23:31:14, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000379
127.0.0.1, 2013-12-02 23:31:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000558
127.0.0.1, 2013-12-02 23:31:17, POST, /admin/default/index, HTTP/1.1, 303, 0.032597
127.0.0.1, 2013-12-02 23:31:17, GET, /admin/default/site, HTTP/1.1, 200, 0.034924
127.0.0.1, 2013-12-02 23:31:17, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000680
127.0.0.1, 2013-12-02 23:31:17, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000562
127.0.0.1, 2013-12-02 23:31:17, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.001696
127.0.0.1, 2013-12-02 23:31:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.714244
127.0.0.1, 2013-12-02 23:31:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2013-12-02 23:31:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2013-12-02 23:31:19, GET, /Comprehensive_Logistics_Management_Portal/default/index, HTTP/1.1, 200, 0.057847
127.0.0.1, 2013-12-02 23:31:19, GET, /Comprehensive_Logistics_Management_Portal/static/css/bootstrap.css, HTTP/1.1, 304, 0.000277
127.0.0.1, 2013-12-02 23:31:19, GET, /Comprehensive_Logistics_Management_Portal/static/css/style.css, HTTP/1.1, 304, 0.000275
127.0.0.1, 2013-12-02 23:31:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000219
127.0.0.1, 2013-12-02 23:31:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2013-12-02 23:31:23, GET, /Comprehensive_Logistics_Management_Portal/default/view_consignment, HTTP/1.1, 303, 0.061080
127.0.0.1, 2013-12-02 23:31:23, GET, /Comprehensive_Logistics_Management_Portal/default/user/login, HTTP/1.1, 200, 0.035502
127.0.0.1, 2013-12-02 23:31:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2013-12-02 23:31:24, GET, /Comprehensive_Logistics_Management_Portal/default/place_order, HTTP/1.1, 303, 0.039953
127.0.0.1, 2013-12-02 23:31:24, GET, /Comprehensive_Logistics_Management_Portal/default/user/login, HTTP/1.1, 200, 0.021213
127.0.0.1, 2013-12-02 23:31:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2013-12-02 23:31:25, GET, /Comprehensive_Logistics_Management_Portal/default/about_us, HTTP/1.1, 200, 0.080613
127.0.0.1, 2013-12-02 23:31:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2013-12-02 23:31:26, GET, /Comprehensive_Logistics_Management_Portal/default/estimate_cost, HTTP/1.1, 200, 0.048538
127.0.0.1, 2013-12-02 23:31:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2013-12-02 23:31:27, GET, /Comprehensive_Logistics_Management_Portal/default/view_consignment, HTTP/1.1, 303, 0.069150
